file,line,target,arms_seen,purpose,wp_to_fix,notes
crates/core/src/ui/account/mod.rs,137,bt.as_str(),"demo|stoat|discord|matrix|teams|(fallthrough=poly_native)",picks per-backend ServerContextMenuExtras component,WP 2,"Lines 129-201; entire function deleted in WP 2. All unrecognised slugs fall through to poly_native arm. DECISION(D20) comment on line 128."
crates/core/src/ui/account/server/context_menu.rs,314,via backend_server_context_menu_extras,"demo|stoat|discord|matrix|teams|(poly_native fallback)",caller site that invokes the dispatcher,WP 2,"Call replaced by ClientMenu wire-up. File stays; becomes host-universal menu component."
crates/core/src/ui/account/server/settings/overview.rs,35,b.as_str(),"demo|stoat|discord|poly",decides whether backend supports server banner image,WP 3,"Inside supports_banner() predicate. File shrinks; predicate deleted."
crates/core/src/ui/account/server/settings/overview.rs,41,b.as_str(),"matrix|teams",decides whether icon/banner changes are local-only,WP 3,"Inside is_local_only() predicate. File shrinks; predicate deleted."
crates/core/src/ui/account/common/channel_list.rs,762,server.backend.slug(),"hackernews",gates HN-specific sidebar footer,WP 4,"is_hn bool; also used at line 804. Replaced by plugin sidebar declaration."
crates/core/src/ui/account/common/channel_list.rs,763,server.backend.slug(),"github",gates forge-specific channel icon rendering,WP 4,"is_github bool; combined with forgejo into is_forge at 764."
crates/core/src/ui/account/common/channel_list.rs,764,server.backend.slug(),"github|forgejo",gates forge sidebar layout,WP 4,"is_forge bool used at lines 784 and 857 to switch between category view and forum sidebar."
crates/core/src/ui/account/common/channel_list.rs,766,server.backend.as_str(),"demo|hackernews|github|forgejo|(via !=)",gates whether New Channel button shows,WP 4,"can_create bool. Replaced by plugin sidebar declaration capability flag."
crates/core/src/ui/account/common/channel_list.rs,825,ch.channel_type,"Forum|Code",picks icon for forge-style channel items,WP 5,"match channel_type; discriminates view type. Replaced by plugin-declared sidebar item icons."
crates/core/src/ui/account/common/channel_list.rs,1268,ch_type,"Text|Voice|Video|Forum|HackerNews|Code",maps channel type to sidebar icon string,WP 5,"type_icon match 1268-1274. Replaced by plugin-declared icon field on sidebar items (D27)."
crates/core/src/ui/account/common/forum_view.rs,193,ch.channel_type,"HackerNews",top-level dispatch HnFeedView vs LemmyForumView,WP 5,"ForumView body deleted and replaced by ClientView."
crates/core/src/ui/account/common/voice_view.rs,303,channel_type,"Voice|Video|Text|Forum|HackerNews|Code",picks icon for voice/video channel header,WP 5,"type_icon match. Replaced by plugin-declared icon."
crates/core/src/ui/search.rs,56,bt.as_str(),"demo|stoat|matrix|discord|teams|poly",picks emoji icon for backend in unified search,WP 7,"backend_icon() fn. Replaced by plugin-declared icon field (D27)."
crates/core/src/state/chat_data.rs,185,backend.as_str(),"stoat|matrix|discord|teams|demo|demo_forum|poly|hackernews|github",picks emoji badge for backend in message attribution,WP 7,"backend_badge() fn. Used in forum_view.rs and channel_list.rs. Replaced by plugin-declared icon."
clients/client/src/types.rs,33,self.0.as_str(),"stoat|matrix|discord|teams|demo|demo_forum|poly|hackernews",maps backend slug to display name,WP 7,"BackendType::display_name() method. Replaced by plugin-declared get-backend-name() (already on WIT interface)."
clients/demo/src/guest.rs,37,bt.as_str(),"stoat|matrix|discord|teams|demo|(fallthrough=poly)",maps poly-client BackendType to WIT BackendType enum,WP 1,"to_wit_backend_type() bridge fn. Deleted when backend-type WIT enum is removed (D17). Demo plugin's get_backend_type() at line 587 also simplifies."
